id,phase,priority_20,cluster,primary_keyword,proposed_url,decision,final_url,decision_reason,unique_angle,source_notes,cta_level,status
114,phase2,False,life,森町 住民税,/life/resident-tax/,MERGE,/life/work-life/resident-tax/,町県民税、納付、電子申告を直接回答,1月1日基準、退職・転居、普通/特別徴収を増補,R6,L1,ready
115,phase2,False,life,森町 固定資産税,/life/property-tax/,MERGE,/life/housing/property-tax/,土地・家屋の固定資産税正本が存在。相続版も別にある,納税通知から土地家屋、名義、空き家、相続へ分岐,R6,L3,ready
116,phase2,False,life,森町 国民健康保険,/life/national-health-insurance/,EXPAND_EXISTING,/life/work-life/nhk-pension/,国保・年金の加入窓口を既に回答。保険税ページも存在,加入/脱退/転職/転入、資格確認書、保険税を時系列化,R6,L1,ready
117,phase2,False,life,森町 国民年金,/life/national-pension/,MERGE,/life/work-life/nhk-pension/,同じ異動窓口・ライフイベントで国保と同時に動く,退職・扶養外れ・学生・住所変更の分岐を増補,R6,L1,ready
118,phase2,False,life,森町 犬 登録,/life/pet-registration/,MERGE,/life/start-living/dog-registration/,登録・鑑札・狂犬病予防を直接回答,転入・転出・死亡・迷子時のカードを追加,R7,L1,ready
119,phase2,False,life,森町 図書館,/life/library/,EXPAND_EXISTING,/life/play-out/visit-library/,開館・休館・利用カードを直接回答,初回登録、子連れ、調べもの、返却、休館日確認を利用場面別に,R7,L0,ready
120,phase2,False,life,森町 文化会館,/life/cultural-hall/,MERGE,/life/play-out/cultural-facilities/,ミキホールの利用・予約・交通を直接回答,主催者/参加者別の確認欄を追加,R7,L0,ready
121,phase2,False,life,森町 体育館,/life/sports-facilities/,MERGE,/life/play-out/sports-facilities/,予約、料金、持ち物を直接回答,施設ごとの用途・床・屋外・減免を比較,R7,L1,ready
122,phase2,False,life,森町 公共施設,/life/public-facilities/,EXPAND_EXISTING,/life/play-out/facilities-library-parks/,目的別施設ガイドが既存。役場窓口ページもある,目的→施設→予約要否→移動手段の選択表,R7,L1,ready
123,phase2,False,life,森町 相談窓口,/life/consultation-desks/,EXPAND_EXISTING,/life/troubles-consult/,暮らしの困りごとハブと法律相談ページが既存,緊急性・分野・匿名可否で入口を選ぶフロー,"R7,C1,A1",L2,ready
124,phase2,False,life,森町 求人 仕事,/life/jobs/,EXPAND_EXISTING,/life/work-life/job-change/,ハローワーク磐田と町支援を直接回答,町内就業だけでなく通勤、職業訓練、子育てとの両立を比較,R7,L2,ready
125,phase2,False,life,森町 インターネット,/life/internet-mobile/,CREATE,/life/living-soon/internet-mobile/,全URLに住所別通信確認の正本なし,番地別エリア判定、山間/平野の現地下見、固定回線工事、代替回線,X,L2,ready
126,phase2,False,childcare,森町 妊娠 出産,/childcare/pregnancy-birth/,EXPAND_EXISTING,/life/family-grow/pregnancy/,妊娠届・母子手帳の既存正本。出生は別ページ,妊娠判明→届出→健診→出産→産後を家族分担表で,"C1,R3",L1,ready
127,phase2,False,childcare,森町 出産 支援,/childcare/birth-support/,MERGE,/life/family-grow/parenting-support/,妊娠、出生、児童手当等の各正本があり、別の総合ページは145と競合,145の年齢別表から各制度正本へリンク,"C1,R3",L1,ready
128,phase2,False,childcare,森町 こども 医療費,/childcare/child-medical-expenses/,CREATE,/life/family-grow/child-medical-expenses/,ひとり親医療はあるが、一般のこども医療費助成正本なし,受給者証、県内/県外、保険変更、学校事故、払い戻しをケース別に,"C1,R6",L1,ready
129,phase2,False,childcare,森町 保育園,/childcare/nursery-schools/,EXPAND_EXISTING,/life/family-grow/nursery-school/,園一覧・空き・申込みを直接回答,年度申込逆算、見学、保育時間、送迎動線、年度途中を比較,C2,L2,ready
130,phase2,False,childcare,森町 幼稚園,/childcare/kindergartens/,MERGE,/life/family-grow/nursery-school/,現行ページが保育園と幼稚園を比較する検索意図を包含,教育/保育時間、預かり、送迎、費用の比較欄を増補,C2,L2,ready
131,phase2,False,childcare,森町 こども誰でも通園制度,/childcare/drop-in-childcare/,HOLD,/life/family-grow/drop-in-childcare/,既存正本なし。ただし森町の開始時期・実施園・定員を一次資料で確定できない段階の量産は危険,実施確定後、対象月齢、利用上限、登録・面談・予約・通常保育との差を独立化,"C2,X",L1,blocked_on_fieldwork
132,phase2,False,childcare,森町 放課後児童クラブ,/childcare/after-school-clubs/,EXPAND_EXISTING,/life/education/after-school-club/,対象学年と申込時期の既存正本・質問あり,学校別、長期休業、就労証明、送迎、申込後の流れ,C3,L2,ready
133,phase2,False,childcare,森町 児童館,/childcare/childrens-center/,EXPAND_EXISTING,/life/family-grow/parenting-support/,児童館・こども家庭センター・アプリの使い分けを既に回答,遊ぶ/相談/計測/交流の目的別、年齢別に施設を使い分ける,C1,L1,ready
134,phase2,False,childcare,森町 病児保育,/childcare/sick-child-care/,MERGE,/life/family-grow/nursery-childcare/,病児・病後児保育の対象、利用料、連携施設を直接回答,事前登録→発症→医療機関→予約→持参品の流れを増補,"C2,H1",L1,ready
135,phase2,False,childcare,森町 学区,/childcare/school-districts/,MERGE,/life/education/school-zones/,住所から通学区域を確認する専用正本あり,転居候補番地、指定校変更相談、現地通学確認を追加,C3,L2,ready
136,phase2,False,childcare,森町 小学校,/childcare/elementary-schools/,MERGE,/life/education/elementary-middle-school/,小3校・中2校の一覧と手続きが同じ意図,各校比較ではなく、住所→学校→転入→放課後を一連化,C3,L2,ready
137,phase2,False,childcare,森町 中学校,/childcare/junior-high-schools/,MERGE,/life/education/elementary-middle-school/,136と同じ学校一覧正本。分割は共通説明が過半,進路ではなく通学、転校、部活動情報の確認方法を増補,C3,L2,ready
138,phase2,False,childcare,森町 転校,/childcare/school-transfer/,EXPAND_EXISTING,/life/education/school-district-transfer/,住所異動と学校手続きの既存正本・質問あり,転出元/転入先、書類、教科書、給食、学童を二自治体で並べる,"C3,R1",L2,ready
139,phase2,False,childcare,森町 習い事 スポーツ,/childcare/lessons-sports/,HOLD,/life/education/lessons-sports/,施設ページはあるが、民間教室を含む網羅・更新可能な一次台帳なし,町主催/学校外/民間を分離し、年齢・送迎・費用の確認法に限定すれば制作可,"R7,C3,X",L1,blocked_on_fieldwork
140,phase2,False,childcare,森町 学校給食,/childcare/school-lunch/,EXPAND_EXISTING,/life/education/school-meals/,献立・費用・アレルギー対応を直接回答,献立確認、欠食、転校初日、食物アレルギー相談の時系列,C3,L1,ready
141,phase2,False,childcare,森町 通学 安全,/childcare/school-route-safety/,CREATE,/life/education/school-route-safety/,学区ページは区域のみ。道路・歩行・災害・送迎の現地確認は独立意図,朝夕に親子で歩く点検表、危険交差点の通報、雨天・災害・バス代替,"C3,R7",L2,ready
142,phase2,False,childcare,森町 子ども 図書館,/childcare/children-library/,MERGE,/life/play-out/visit-library/,図書館正本内で子連れ利用を解決可能,年齢別資料、読み聞かせ、親子の滞在、返却を増補,R7,L0,ready
143,phase2,False,childcare,森町 子ども 遊び場,/childcare/playgrounds/,MERGE,/life/play-out/find-parks/,公園を年齢・遊具・アクセスで選ぶ既存正本。児童館は133へ,年齢、トイレ、日陰、駐車、雨天代替を比較欄に,"R7,C1",L1,ready
144,phase2,False,childcare,森町 高校 通学,/childcare/high-school-commute/,CREATE,/life/education/high-school-commute/,公共交通、天浜線ブログはあるが、町外高校への毎日通学判断は未回答,始業から逆算、駅/バス/自転車/送迎、雨天、定期、最終便、3年間費用,"C3,X",L2,ready
145,phase1,True,childcare,森町 子育て 支援,/childcare/support-summary/,EXPAND_EXISTING,/life/family-grow/parenting-support/,同URLが相談・児童館・アプリを回答。/blog/20260802-parenting-migration/ と127が近接,妊娠〜高校を年齢軸×「平時/病気/仕事/発達/家計」で整理し各正本へ送る,"C1,C2,C3",L2,ready
146,phase4,False,health,公立森町病院,/health/morimachi-hospital/,MERGE,/life/health-medical/find-hospitals/,同ページが公立森町病院と町内診療所の探し分けを直接回答,病院固有の診療科一覧を複製せず、紹介状・受付・交通の確認法を増補,H1,L1,ready
147,phase4,False,health,森町 病院 クリニック,/health/clinics/,MERGE,/life/health-medical/find-hospitals/,完全同一の検索意図,症状、診療科、距離、時間外、交通で公式検索を使う手順,H1,L1,ready
148,phase4,False,health,森町 休日当番医,/health/holiday-doctors/,EXPAND_EXISTING,/life/health-medical/night-holiday-medical/,夜間・休日の緊急度別受診先を直接回答・質問あり,日付→当番→電話→移動、子ども/成人、夜間の相談番号を一画面化,H2,L1,ready
149,phase4,False,health,森町 救急,/health/emergency-care/,EXPAND_EXISTING,/life/emergency/fire-ambulance/,119と袋井消防管轄を回答。夜間休日・子ども救急は別正本あり,119/救急相談/休日受診の分岐、住所を伝える準備、山間部の到達説明,H2,L1,ready
150,phase4,False,health,森町 健康診断 がん検診,/health/checkups/,MERGE,/life/health-medical/health-checkups/,総合・特定健診の受診券と対象を直接回答。がん専用既存もあり,年齢・加入保険・検診種類・申込時期の選択表,H3,L1,ready
151,phase4,False,health,森町 予防接種,/health/vaccinations/,MERGE,/life/health-medical/vaccinations/,子ども・成人の受け方を束ねる既存正本,定期/任意、年齢、接種間隔は各専用ページへ分岐,H3,L1,ready
152,phase4,False,health,森町 熱中症,/health/heatstroke/,CREATE,/life/health-medical/heatstroke/,既存に独立正本なし。救急・公園ページとは平時予防の意図が異なる,森町の暑さ情報、クーリングシェルター、屋外作業・高齢者・子どもの行動表,"H2,X",L1,ready
153,phase4,False,health,森町 障害 福祉,/health/disability-support/,EXPAND_EXISTING,/life/health-medical/disability-welfare/,手帳種類と申請窓口を直接回答,診断前相談、手帳、サービス、医療費、就労を「入口」中心に整理,H4,L1,ready
154,phase4,False,health,森町 介護保険,/health/long-term-care-insurance/,EXPAND_EXISTING,/life/parents-care/long-term-care-insurance/,申請・保険料・施設相談の既存正本・質問あり,相談→認定→ケアプラン→利用→更新、費用通知を家族向けに,A1,L2,ready
155,phase4,False,health,森町 要介護認定,/health/care-needs-certification/,MERGE,/life/parents-care/long-term-care-insurance/,介護保険利用の中核工程で別URLにすると説明重複,訪問調査前の生活記録、主治医意見書、結果後の選択を増補,A1,L2,ready
156,phase4,False,health,森町 介護サービス,/health/care-services/,MERGE,/life/parents-care/long-term-care-insurance/,認定からサービス利用まで同一連続意図。施設探し専用は別に既存,在宅/通所/短期/施設を本人希望・介護力・費用で比較,A1,L2,ready
157,phase4,False,health,森町 地域包括支援センター,/health/community-support-center/,EXPAND_EXISTING,/life/parents-care/community-support-center/,相談できる内容と準備を直接回答・質問あり,相談前メモ、本人拒否、遠方家族、虐待疑い、介護予防の入口,A1,L2,ready
158,phase4,False,health,森町 高齢者 支援,/health/senior-support/,EXPAND_EXISTING,/life/parents-care/,在宅、交通、見守り、介護の既存各ページを束ねる親ハブ,自立/フレイル/要介護の段階別に、移動・食事・見守り・住まいを整理,A1,L2,ready
159,phase4,False,health,森町 認知症 相談,/health/dementia-support/,EXPAND_EXISTING,/life/parents-care/dementia-consultation/,地域包括への相談開始を直接回答・質問あり,気づきの記録、受診準備、金銭・運転・家の安全、家族分担,"A1,H1",L2,ready
160,phase4,False,health,親 森町 実家 介護,/health/parents-home-care/,EXPAND_EXISTING,/life/parents-care/care-started/,介護開始の既存正本と /blog/20260720-care-first-consultation/ が近接。家の選択は inherited-house/ に既存,遠方家族が「介護」「家の維持」「名義・費用」を別台帳で同時管理し、売却を急がない,"A1,R6",L3,ready
161,phase2,False,areas,森町 天竜浜名湖鉄道,/areas/tenhama-line/,EXPAND_EXISTING,/life/start-living/public-transit/,既存が天浜線・町営バス・民間バスを横断。別の路線総合ページは公共交通ページと答えが重なる。鉄道章を5駅・乗換・通学/通院・観光に拡張する。,,T1、T3。5駅の正式名称・設備・最新ダイヤを確認,L2,ready
162,phase2,False,areas,遠州森駅,/areas/enshu-mori-station/,CREATE,/life/start-living/public-transit/enshu-mori-station/,駅単位の徒歩圏・乗換・生活施設は既存にない。路線総合は要約に留め、当ページは駅前の実地動線に限定。,,T1、T3、駅周辺施設の運営者公式、現地写真,L2,ready
163,phase2,False,areas,戸綿駅,/areas/towata-station/,CREATE,/life/start-living/public-transit/towata-station/,太田川・高低差・徒歩/自転車動線という固有角度を持てる。地区ページへ同じ一般説明を複製しない。,,T1、T3、A1、河川・防災資料、現地写真,L2,ready
164,phase2,False,areas,森町病院前駅,/areas/morimachi-byoin-mae-station/,CREATE,/life/start-living/public-transit/morimachi-byoin-mae-station/,病院・文化会館への移動意図が固有。病院案内ページとは「駅からの動線」に限定して差別化。,,T1、T3、公立森町病院・文化会館公式、現地バリア確認,L2,ready
165,phase2,False,areas,円田駅,/areas/enda-station/,CREATE,/life/start-living/public-transit/enda-station/,駅周辺の通勤・住宅動線は未収載。園田地区ページは地区全体、当ページは駅徒歩圏に限定。,,T1、T3、A1、現地写真,L2,ready
166,phase2,False,areas,遠江一宮駅,/areas/totomi-ichinomiya-station/,CREATE,/life/start-living/public-transit/totomi-ichinomiya-station/,小國神社アクセスと居住動線の両方を扱えるが、神社観光記事とは駅利用の実務に限定する。,,T1、T3、小國神社公式の交通案内、現地写真,L2,ready
167,phase2,False,areas,森町 町営バス,/areas/town-bus/,EXPAND_EXISTING,/life/start-living/public-transit/,既存の主検索語が「森町 バス 時刻表」。候補URL新設は完全競合。最新路線・予約便・運賃・代替交通を同URLで全面更新する。,,T2、T3,L2,ready
168,phase2,False,areas,森町 大河内線 バス,/areas/okochi-bus/,HOLD,公開後の統合先は /life/start-living/public-transit/,"現行titleの「岡幸線」と本文データの「大河内線」が不一致。名称・運行区間・予約条件を確定できるまで新規公開不可。確定後も単独6,000字の固有価値が不足するなら路線章へ統合。",,T2の最新PDF・改定日・町担当課確認、現地停留所表示,L2,blocked_on_fieldwork
169,phase2,False,areas,森町 吉川線 バス,/areas/yoshikawa-bus/,MERGE,/life/start-living/public-transit/,既存ページ内に吉川線があり、時刻表中心の単独ページは改定のたびに二重更新となる。路線別アンカーを設ける。,,T2、T3,L2,ready
170,phase2,False,areas,森町 地域タクシー,/areas/community-taxi/,EXPAND_EXISTING,/life/start-living/public-transit/,既存本文に一宮・園田地区の地域タクシーがある。利用条件・予約・対象区域を不足分として追記。,,T2、運行事業者公式、A1,L2,ready
171,phase4,False,areas,森町 車 生活,/areas/car-life/,CREATE,/life/living-soon/car-life/,公共交通の制度案内とは「車を持つ判断」の意図が異なる。買い物・通勤・通院を地区別ケースで比較し、車必須と一律断定しない。,,T2、T3、A1、駐車・軽自動車税の町公式,L2,ready
172,phase4,False,areas,森町 駐車場,/areas/parking/,MERGE,/life/play-out/parking-access/,既存の主検索意図が施設駐車場・地図・公共交通。町全体の空き状況を保証する新ページは維持不能。観光・駅・行事別の確認先を既存へ統合。,,T3、各施設/主催者の最新公式案内,L1,ready
173,phase4,False,areas,森町 森地区 住みやすさ,/areas/mori/,EXPAND_EXISTING,/life/living-soon/areas/mori/,同一地区・同一居住意図のページが公開済み。買い物・学校・医療・交通・防災を独自実測で拡張。,,A1、T1〜T3、現地生活動線,L3,ready
174,phase4,False,areas,森町 一宮 住みやすさ,/areas/ichinomiya/,EXPAND_EXISTING,/life/living-soon/areas/ichinomiya/,完全一致。神社観光の説明を増やすのではなく、駅・地域タクシー・学校区・土地条件を強化。,,A1、T1〜T3、H1,L3,ready
175,phase4,False,areas,森町 飯田 住みやすさ,/areas/iida/,EXPAND_EXISTING,/life/living-soon/areas/iida/,完全一致。地区名だけを差し替えず、生活施設への実動線と災害リスクを固有化。,,A1、T2、T3、現地写真,L3,ready
176,phase4,False,areas,森町 園田 住みやすさ,/areas/sonoda/,EXPAND_EXISTING,/life/living-soon/areas/sonoda/,完全一致。円田駅・地域タクシー・茶畑周辺の土地利用を固有角度にする。,,A1、T1〜T3、H3,L3,ready
177,phase4,False,areas,森町 天方 住みやすさ,/areas/amagata/,EXPAND_EXISTING,/life/living-soon/areas/amagata/,完全一致。山間部の通信を推測で書かず、道路・移動・防災・維持管理を実測する。,,A1、T2、T3、通信各社のエリア情報,L3,ready
178,phase4,False,areas,森町 三倉 住みやすさ,/areas/mikura/,EXPAND_EXISTING,/life/living-soon/areas/mikura/,完全一致。空き家一般論ではなく、道路・斜面・移動・管理頻度の現地差を記録。,,A1、T2、T3、H1、H5,L3,ready
179,phase4,False,areas,森町 袋井 磐田 通勤,/areas/commute-fukuroi-iwata/,CREATE,/life/living-soon/commute-fukuroi-iwata/,移住総合・車生活とは目的地別の朝夕ルート比較で差別化できる。単一の所要時間を断定せず条件別に示す。,,T1〜T3、国/県道路情報、実走条件と確認日,L2,ready
180,phase4,False,areas,森町 掛川 浜松 通勤,/areas/commute-kakegawa-hamamatsu/,CREATE,/life/living-soon/commute-kakegawa-hamamatsu/,鉄道乗換を含む生活圏が179と異なる。共通説明は交通総合へ寄せ、掛川/浜松の比較に限定。,,T1〜T3、実走・乗換確認,L2,ready
181,phase1,True,home,森町 不動産,/home/real-estate/,EXPAND_EXISTING,/life/housing/,「家・土地・賃貸・空き家・売却」の総合意図は既存ハブの役割。/home/real-estate/を作ると入口が二つになる。詳細ページの要約をコピーせず、判断分岐と地区/物件種別の比較に集中。,,H1〜H6。免許・民間サービス開示、行政情報との区別を必須化,L3,ready
182,phase4,False,home,森町 土地,/home/land/,CREATE,/life/housing/land/,買い家・固定資産税・地区ページはあるが、土地選びの道路、接道、高低差、上下水道、農地、災害を横断するページはない。,,H2、H3、H5、現地・登記確認,L3,ready
183,phase4,False,home,森町 賃貸,/home/rentals/,EXPAND_EXISTING,/life/housing/rent-house/,同じ意図。空き家バンク、町営住宅、民間賃貸の三択と地区・通勤を拡張する。,,H1、町営住宅公式、民間掲載は取得日付きスナップショット,L3,ready
184,phase4,False,home,森町 家賃 相場,/home/rent-market/,MERGE,/life/housing/rent-house/,"在庫が少ない地域で間取り別「相場」を独立6,000字にすると、薄い集計・短期変動・183との競合になりやすい。調べ方と取得日付き例を賃貸ページへ統合。",,町営住宅家賃、空き家バンク、複数民間掲載の取得日・母数,L3,ready
185,phase4,False,home,森町 土地 相場,/home/land-prices/,CREATE,/life/housing/land-prices/,182は土地の選び方、185は公的価格と実取引の読み方。価格の種類・時点・個別差を説明できれば分離可能。,,H2、鑑定評価の前提、データ取得日,L3,ready
186,phase1,True,home,森町 空き家バンク,/home/vacant-house-bank/,EXPAND_EXISTING,/life/housing/vacant-house/,現行titleが既に「空き家バンク」。/home/vacant-house-bank/は完全競合。登録側/利用側の分岐、物件公開、交渉、契約、補助、更新確認を同URLで全面改修。,,H1、様式・登録要件・公開物件・町が仲介しない範囲、H6,L3,ready
187,phase4,False,home,森町 空き家 購入,/home/buy-vacant-house/,CREATE,/life/housing/buy-vacant-house/,buy-houseは住宅購入一般、vacant-houseは制度総合。修繕、境界、残置物、農地、再建築、防災の購入前調査は独立意図。,,H1〜H5、建物状況調査、現地確認,L3,ready
188,phase4,False,home,森町 空き家 売却,/home/sell-vacant-house/,EXPAND_EXISTING,/life/housing/sell-house/,現行ページが空き家バンクと一般売却を扱う。199と同じ正規URLに集約し、空き家所有者向け章・遠方手順を追加。,,H1、H2、H4〜H6,L3,ready
189,phase4,False,home,森町 空き家 維持費,/home/vacant-house-costs/,CREATE,/life/housing/vacant-house-costs/,売却とは異なり「保有を続ける費用」の判断意図。税・草木・保険・点検・修繕を実額の根拠/見積条件付きで扱う。,,固定資産税、H1、保険会社・事業者の一次見積条件、現地管理記録,L3,ready
190,phase4,False,home,森町 古民家 リフォーム,/home/old-house-renovation/,CREATE,/life/housing/old-house-renovation/,耐震・解体ページと購入ページを横断するが、改修可否・費用・確認順序は固有。伝統構法を未調査で断定しない。,,H5、建築士/施工者確認、町の補助、現地建物調査,L3,ready
191,phase4,False,home,森町 農地 購入,/home/farmland-purchase/,CREATE,/life/troubles-consult/farmland/purchase/,既存は農地相続・転用・売貸相談。買主側の3条許可、営農要件、農地付き空き家の分離確認は独立した高リスク意図。,,H3、H1、法務局資料、専門家レビュー,L3,ready
192,phase4,False,home,森町 農地転用,/home/farmland-conversion/,EXPAND_EXISTING,/life/troubles-consult/farmland/conversion/,主検索語が既存と完全一致。新URL禁止。4条/5条、農振除外との順序、受付・審査の最新情報を拡張。,,H3、対象地別の担当課確認,L3,ready
193,phase4,False,home,森町 相続 不動産,/home/inherited-property/,EXPAND_EXISTING,/life/end-of-life/inherited-house/,既存が相続した親の家の使う/貸す/売る/解体を扱う。一般相続ページとは不動産の選択に限定して差別化。,,H4、H1、H2、H6,L3,ready
194,phase4,False,home,森町 相続登記,/home/inheritance-registration/,CREATE,/life/end-of-life/inheritance-registration/,既存相続ページは町の戸籍・税と家族判断が中心。法務局で行う登記の期限・書類・相談先は独立意図。ただし町固有情報を無理に増やさない。,,H4、法務省の最新制度・様式、専門家レビュー,L3,ready
195,phase4,False,home,森町 実家じまい,/home/parents-home/,EXPAND_EXISTING,/life/housing/close-parents-house/,現行titleが完全一致。parents-home新設は重複。介護前後、相続前後、片付け、名義、維持、家族記録を既存へ拡張。,,H1、H4〜H6、町のごみ案内,L3,ready
196,phase4,False,home,森町 不動産 査定,/home/property-valuation/,CREATE,/life/housing/property-valuation/,土地価格ページは公的データ、売却ページは全工程。査定種別、根拠、媒介前の比較、道路・境界・農地による個別差に限定すれば独立可能。,,H2、H3、H6、国交省の媒介/価格査定関連資料,L3,ready
197,phase1,True,home,森町 移住,/home/moving-to-morimachi/,EXPAND_EXISTING,/life/living-soon/about-morimachi/,現行title・主検索語が移住そのもの。/home/moving-to-morimachi/は完全競合。仕事・子育て・交通・6地区・住まいの比較ハブに全面拡張。,,H1、A1、T1〜T3、学校・医療・統計、現地生活動線,L3,ready
198,phase4,False,home,森町 ハザードマップ 不動産,/home/hazard-map-property/,EXPAND_EXISTING,/life/living-soon/disaster-risk/,既存主検索語が「ハザードマップ 土地」。防災一般ページとは「転居/物件選び」に限定。新URLは不要。,,H5、H2、現地高低差・避難路,L3,ready
199,phase4,False,home,森町 家 売る,/home/sell-property/,EXPAND_EXISTING,/life/housing/sell-house/,主検索語が既存と完全一致。188を空き家章として同じURLに統合し、一般売却・相続・空き家バンクの分岐を作る。,,H1、H2、H4、H6,L3,ready
200,phase4,False,home,森町 不動産 相談,/home/consultation/,CREATE,/life/housing/real-estate-consultation/,既存public-housing-consultationは住まいに困窮した人の公的相談であり、売買・空き家の民間相談とは混同禁止。事業者情報・相談範囲・費用/次の手順を明示した専用入口が必要。,,H6、行政窓口との違い、相談後の流れ、計測/同意/個人情報,L3,ready
